variable,std_beta_OLS,p_HC3,sig_OLS,sign_OLS,mean_abs_shap,rank_shap,sign_SHAP,sign_match,case
MA_ratio,-0.3712915322961873,0.0472683513366448,True,-,0.14932297083415183,1,+,False,상호작용 의심
OilPrice,-0.310233039423352,0.2602985671611214,False,-,0.13803469205018457,2,+,False,순수 비선형 효과
oil_volatility_20,0.1596368389967503,0.2041709518569872,False,+,0.13454735590517652,3,-,False,순수 비선형 효과
OilInventories,-0.079702572635304,0.0073473236064883,True,-,0.10392412534846825,4,-,True,비선형 추가 효과
oil_diff_lag1,-0.1268024159130812,0.0538673445049244,False,-,0.10120975310094454,5,-,True,순수 비선형 효과
VIX,-0.0762362608079085,0.0703658188093065,False,-,0.09652651885175172,6,+,False,순수 비선형 효과
CPE,0.2720131320656221,0.0061958271189079,True,+,0.09230223125008885,7,-,False,상호작용 의심
IndustryProduction,-0.1324102938931927,0.226878674380495,False,-,0.07021757914553785,8,-,True,약한 효과
RealInterestRate,0.0721862753681657,0.0327823579447888,True,+,0.06706933058025978,9,-,False,상호작용 의심
OPECProduction,-0.0812084237545538,0.3469459833464349,False,-,0.06006283525482721,10,-,True,약한 효과
gfc_2008_shock,-0.2033891694213628,0.0331309661944262,True,-,0.03583342500130085,11,-,True,선형 효과 위주
is_friday,-0.0493800823208049,0.1698248406151697,False,-,0.025852594277910482,12,+,False,상호작용 의심
opec_2014_regime,-0.032183170456823,0.2052699170786274,False,-,0.012859148217174174,13,+,False,상호작용 의심
war_2022_shock,-0.1240724765209128,0.1521567523549816,False,-,0.01206358785211266,14,-,True,약한 효과
opec_2014_shock,-0.0848000764674553,0.0168885923594873,True,-,0.008022556471004803,15,-,True,약한 효과
covid_2020_shock,-0.0896525978812378,0.5337369512725306,False,-,0.005602388495215308,16,-,True,약한 효과
war_2022_window,0.1678991416099652,0.1097360308670361,False,+,0.0013495544738909657,17,+,True,선형 효과 위주
MA_5_gt_MA_20,0.2085728575326012,0.0773602988659884,False,+,0.0,18,+,True,선형 효과 위주
cond_opec_cut,-0.087173232509586,0.0534180685345827,False,-,0.0,19,+,False,상호작용 의심
