dataset,model,n_train,n_test,feature_count,MAE,RMSE,R2,Directional_Accuracy
dataset1_raw_only,naive_zero,3637,910,12,1.2582637362637366,1.7002833635848813,-5.109837033034914e-05,0.002197802197802198
dataset1_raw_only,OLS,3637,910,12,1.2827535879302978,1.7209111091507985,-0.024463421390957363,0.4912087912087912
dataset1_raw_only,Ridge,3637,910,12,1.2820943685519648,1.7203696006500642,-0.02381879963489686,0.4912087912087912
dataset1_raw_only,Lasso,3637,910,12,1.2700203765486484,1.710658398260267,-0.012292846546971603,0.4989010989010989
dataset1_raw_only,LGBM,3637,910,12,1.6263110306953237,2.0951705819047124,-0.5185124443102742,0.48021978021978023
dataset2_raw_plus_derived,naive_zero,3637,910,26,1.2582637362637366,1.7002833635848813,-5.109837033034914e-05,0.002197802197802198
dataset2_raw_plus_derived,OLS,3637,910,26,2.0795741722195435,2.509952808868946,-1.1792682541875603,0.5164835164835165
dataset2_raw_plus_derived,Ridge,3637,910,26,2.020781053233223,2.4557949569109536,-1.0862376874137607,0.5175824175824176
dataset2_raw_plus_derived,Lasso,3637,910,26,1.7771567009757305,2.228391472841647,-0.7177602790749036,0.5186813186813187
dataset2_raw_plus_derived,LGBM,3637,910,26,1.6393460063799143,2.107623128599361,-0.5366164981620785,0.5010989010989011
dataset3_diff_only,naive_zero,3637,910,11,1.2582637362637366,1.7002833635848813,-5.109837033034914e-05,0.002197802197802198
dataset3_diff_only,OLS,3637,910,11,1.2595868936044006,1.705310462588056,-0.005973391075997592,0.512087912087912
dataset3_diff_only,Ridge,3637,910,11,1.2595838252803404,1.70530521475273,-0.0059671996232484315,0.5131868131868131
dataset3_diff_only,Lasso,3637,910,11,1.2594238988918307,1.7049972506271605,-0.005603893591610731,0.5098901098901099
dataset3_diff_only,LGBM,3637,910,11,1.3514664506945924,1.7985049050021968,-0.11892978194925274,0.47802197802197804
dataset4_derived_full,naive_zero,3637,910,26,1.2582637362637366,1.7002833635848813,-5.109837033034914e-05,0.002197802197802198
dataset4_derived_full,OLS,3637,910,26,1.324735626949305,1.8131647694802528,-0.1372452304666325,0.5197802197802198
dataset4_derived_full,Ridge,3637,910,26,1.3250058386221972,1.8134419306519434,-0.13759293666157335,0.5175824175824176
dataset4_derived_full,Lasso,3637,910,26,1.3230054643219418,1.8104439491580777,-0.13383470938135544,0.5175824175824176
dataset4_derived_full,LGBM,3637,910,26,1.3215940759376197,1.7770807447327646,-0.09243071549072446,0.512087912087912
