variable,is_sentiment,mean_abs_shap,mean_shap_signed,sign_positive_ratio,rank
OilPrice,False,0.14400350308971405,-0.0011953061846095869,0.45766439410600396,1
MA_ratio,False,0.10701735621252818,0.007273570350908024,0.374312733670552,2
oil_diff_lag1,False,0.10481382835370838,0.0013912667410439009,0.5075874202771058,3
VIX,False,0.0903462570246431,-0.001862170692914783,0.38310974268748627,4
TreasuryYield,False,0.08073735442986553,-0.0015309461316385842,0.6903452826039147,5
OilInventories,False,0.08068679994689507,0.0014631539363878646,0.531779195073675,6
OPECProduction,False,0.07869304816603635,-0.006803338765909424,0.5597096987024411,7
RealInterestRate,False,0.0662821038344279,0.0006383343707718892,0.5687266329447987,8
CPE,False,0.0661899716023222,0.0004233998179808849,0.5773037167363096,9
sent_supply_7d,True,0.0660884999826641,0.00010921884395955876,0.5049483175720255,10
sent_financial_7d,True,0.053248305399402555,-0.00030865307618009754,0.5236419617330108,11
sent_demand_7d,True,0.05256478153555827,0.0013781926147637313,0.4913129535957774,12
gfc_2008_shock,False,0.049984780496798144,-0.00481196248558961,0.9832856828678249,13
sent_geopolitical_7d,True,0.045743766877298135,0.0007706024314930083,0.5122058500109963,14
IndustryProduction,False,0.039038726765998955,0.0005837913016831551,0.4684407301517484,15
is_friday,False,0.022095989003271584,0.0007993935173441765,0.7074994501869365,16
gfc_2008_regime,False,0.009298663624886063,0.002128801445585657,0.027710578403342862,17
vix_high,False,0.007496600150824929,-0.0006302992234085788,0.4048823400043985,18
war_2022_window,False,0.002685372691280035,0.0001443572886913265,0.004618429733890477,19
covid_2020_window,False,0.0014027951377676492,3.859389963744963e-05,0.9953815702661095,20
MA_5_gt_MA_20,False,0.0,0.0,0.0,21
opec_2014_window,False,0.0,0.0,0.0,22
cond_opec_cut,False,0.0,0.0,0.0,23
